"",".variable","DMU","Year","Age","Sex","a","k","s","i",".value",".lower",".upper",".width",".point",".interval"
"840","Report","M3",2014,"F","F",1,10,1,6,0.815002907700873,0.300878217468853,0.93266696231689,0.9,"median","qi"
"841","Hest","M4",2014,"F","F",1,10,1,7,1782.46352014665,1470.85643032239,2146.11050081486,0.9,"median","qi"
"842","HS","M4",2014,"F","F",1,10,1,7,0.959190063911793,0.946676206694647,0.976949792944211,0.9,"median","qi"
"843","N","M4",2014,"F","F",1,10,1,7,45077.311112431,37382.2639713159,65517.5675514455,0.9,"median","qi"
"844","NS","M4",2014,"F","F",1,10,1,7,0.922251567327501,0.871294098010065,0.9770969071763,0.9,"median","qi"
"845","Report","M4",2014,"F","F",1,10,1,7,0.732239919022992,0.57629856949684,0.856196715296912,0.9,"median","qi"
"846","Hest","W1",2014,"F","F",1,10,1,8,2602.5814055211,1193.45376094882,3652.82434809546,0.9,"median","qi"
"847","HS","W1",2014,"F","F",1,10,1,8,0.924404848277356,0.890020916697027,0.967737993782233,0.9,"median","qi"
"848","N","W1",2014,"F","F",1,10,1,8,34563.1659382843,30459.5388298181,38363.7782929306,0.9,"median","qi"
"849","NS","W1",2014,"F","F",1,10,1,8,0.944653678993129,0.887361714693732,0.976456461513265,0.9,"median","qi"
"850","Report","W1",2014,"F","F",1,10,1,8,0.454910985418558,0.311295241058279,0.983902082614749,0.9,"median","qi"
"851","Hest","W2",2014,"F","F",1,10,1,9,1218.2861568815,943.213664051492,2104.75745290183,0.9,"median","qi"
"852","HS","W2",2014,"F","F",1,10,1,9,0.966932908043853,0.957366068913216,0.973871898793774,0.9,"median","qi"
"853","N","W2",2014,"F","F",1,10,1,9,39960.3087031411,27134.5177122038,59798.4700599984,0.9,"median","qi"
"854","NS","W2",2014,"F","F",1,10,1,9,0.969124768856477,0.856712715149549,0.988568289209052,0.9,"median","qi"
"855","Report","W2",2014,"F","F",1,10,1,9,0.813052449922709,0.467305661359422,0.930403321264275,0.9,"median","qi"
"856","Hest","E1",2014,"F","M",1,10,2,1,772.226892804433,667.615482922399,910.583280933016,0.9,"median","qi"
"857","HS","E1",2014,"F","M",1,10,2,1,0.970482358442426,0.962967571596689,0.980589766105498,0.9,"median","qi"
"858","N","E1",2014,"F","M",1,10,2,1,26306.3357318281,20956.1903331341,37045.2541737074,0.9,"median","qi"
"859","NS","E1",2014,"F","M",1,10,2,1,0.953537963699813,0.793030599727636,0.988394563589019,0.9,"median","qi"
"860","Report","E1",2014,"F","M",1,10,2,1,0.813261616568811,0.594576343274421,0.943715900645571,0.9,"median","qi"
"861","Hest","E2",2014,"F","M",1,10,2,2,545.830016337415,378.166627837478,846.087237736263,0.9,"median","qi"
"862","HS","E2",2014,"F","M",1,10,2,2,0.981047061654035,0.971395424351668,0.985708919065757,0.9,"median","qi"
"863","N","E2",2014,"F","M",1,10,2,2,25636.6571208681,19920.6003266616,42738.3886544737,0.9,"median","qi"
"864","NS","E2",2014,"F","M",1,10,2,2,0.906278314554637,0.746849991604849,0.983768015140971,0.9,"median","qi"
"865","Report","E2",2014,"F","M",1,10,2,2,0.647562250329024,0.353814015792215,0.860477221980598,0.9,"median","qi"
"866","Hest","E3",2014,"F","M",1,10,2,3,1286.55497876418,754.478857139746,1978.5665611272,0.9,"median","qi"
"867","HS","E3",2014,"F","M",1,10,2,3,0.96155432539389,0.934734286265705,0.981737773917112,0.9,"median","qi"
"868","N","E3",2014,"F","M",1,10,2,3,39721.4400120812,20680.94445247,50743.4142082895,0.9,"median","qi"
"869","NS","E3",2014,"F","M",1,10,2,3,0.853410871524769,0.680960754382415,0.97753104784103,0.9,"median","qi"
"870","Report","E3",2014,"F","M",1,10,2,3,0.666926536854184,0.413668921088849,0.956367271616429,0.9,"median","qi"
"871","Hest","M1",2014,"F","M",1,10,2,4,1749.68779161908,1287.80560080505,2181.56806259593,0.9,"median","qi"
"872","HS","M1",2014,"F","M",1,10,2,4,0.965371022373589,0.95242593911623,0.9837711418092,0.9,"median","qi"
"873","N","M1",2014,"F","M",1,10,2,4,44010.2486349487,38829.6004078617,113252.880189102,0.9,"median","qi"
"874","NS","M1",2014,"F","M",1,10,2,4,0.755962429052888,0.495865300948558,0.936123268164226,0.9,"median","qi"
"875","Report","M1",2014,"F","M",1,10,2,4,0.442974124199235,0.328201382445188,0.664673104558939,0.9,"median","qi"
"876","Hest","M2",2014,"F","M",1,10,2,5,1187.00904013062,916.092734666983,1484.40261708162,0.9,"median","qi"
"877","HS","M2",2014,"F","M",1,10,2,5,0.97762693837101,0.969668215497039,0.988847739625399,0.9,"median","qi"
"878","N","M2",2014,"F","M",1,10,2,5,57490.0669455576,43149.8698448854,84967.0173288444,0.9,"median","qi"
"879","NS","M2",2014,"F","M",1,10,2,5,0.733973093754669,0.626905960245665,0.948339615700735,0.9,"median","qi"
"880","Report","M2",2014,"F","M",1,10,2,5,0.67074919007985,0.523185016585199,0.884789738656505,0.9,"median","qi"
"881","Hest","M3",2014,"F","M",1,10,2,6,1240.56747577989,816.350923103566,3434.23008919306,0.9,"median","qi"
"882","HS","M3",2014,"F","M",1,10,2,6,0.968806004024108,0.885458237237186,0.976270168740823,0.9,"median","qi"
"883","N","M3",2014,"F","M",1,10,2,6,34325.8244735942,26962.0188843539,44439.6913041405,0.9,"median","qi"
"884","NS","M3",2014,"F","M",1,10,2,6,0.947984062952082,0.776325733074633,0.983438074176213,0.9,"median","qi"
"885","Report","M3",2014,"F","M",1,10,2,6,0.488477756243579,0.155651693145697,0.757640022230008,0.9,"median","qi"
"886","Hest","M4",2014,"F","M",1,10,2,7,1348.66678690991,1031.49535482555,1737.95874114843,0.9,"median","qi"
"887","HS","M4",2014,"F","M",1,10,2,7,0.967883919239161,0.958829110031573,0.983853422876427,0.9,"median","qi"
"888","N","M4",2014,"F","M",1,10,2,7,45060.5887679395,37321.0019700265,65390.9357762287,0.9,"median","qi"
"889","NS","M4",2014,"F","M",1,10,2,7,0.907109042082618,0.696735965307007,0.967167094327752,0.9,"median","qi"
"890","Report","M4",2014,"F","M",1,10,2,7,0.70457430342133,0.581582997320807,0.816845241677119,0.9,"median","qi"
"891","Hest","W1",2014,"F","M",1,10,2,8,2047.14945871648,817.44888455528,2860.41461616115,0.9,"median","qi"
"892","HS","W1",2014,"F","M",1,10,2,8,0.939276501778865,0.916468378487989,0.977881633613371,0.9,"median","qi"
"893","N","W1",2014,"F","M",1,10,2,8,34567.8849249183,30460.9687502581,38353.8209593494,0.9,"median","qi"
"894","NS","W1",2014,"F","M",1,10,2,8,0.910188014263966,0.79614910399099,0.970373156025643,0.9,"median","qi"
"895","Report","W1",2014,"F","M",1,10,2,8,0.186999929716603,0.122758603659944,0.445647918244167,0.9,"median","qi"
"896","Hest","W2",2014,"F","M",1,10,2,9,968.109792321507,651.62961049703,1559.30166988852,0.9,"median","qi"
"897","HS","W2",2014,"F","M",1,10,2,9,0.975122259329663,0.968271423420466,0.98012376571622,0.9,"median","qi"
"898","N","W2",2014,"F","M",1,10,2,9,39936.5280327073,27166.187600451,59832.7293468378,0.9,"median","qi"
"899","NS","W2",2014,"F","M",1,10,2,9,0.933243844230712,0.893210757455165,0.974135321131051,0.9,"median","qi"
"900","Report","W2",2014,"F","M",1,10,2,9,0.381066127699548,0.234391088023607,0.596295269198574,0.9,"median","qi"
"901","Hest","E1",2015,"F","F",1,11,1,1,1661.05009238879,1435.61506079645,2107.4466460056,0.9,"median","qi"
"902","HS","E1",2015,"F","F",1,11,1,1,0.938201516680008,0.908441517851722,0.958901073929927,0.9,"median","qi"
"903","N","E1",2015,"F","F",1,11,1,1,26351.1409381194,17852.9707338446,43101.6326876733,0.9,"median","qi"
"904","NS","E1",2015,"F","F",1,11,1,1,0.751368420866317,0.616125218963466,0.962145223829944,0.9,"median","qi"
"905","Report","E1",2015,"F","F",1,11,1,1,0.846700629118416,0.663706089199933,0.933416015650737,0.9,"median","qi"
"906","Hest","E2",2015,"F","F",1,11,1,2,1264.27246441789,573.641399557277,1938.43913033279,0.9,"median","qi"
"907","HS","E2",2015,"F","F",1,11,1,2,0.962825516339603,0.918095513668692,0.971003129429914,0.9,"median","qi"
"908","N","E2",2015,"F","F",1,11,1,2,23483.6783865288,17696.7559244905,38017.0632888135,0.9,"median","qi"
"909","NS","E2",2015,"F","F",1,11,1,2,0.753241603778211,0.517070135949647,0.883574703027685,0.9,"median","qi"
"910","Report","E2",2015,"F","F",1,11,1,2,0.463466825458515,0.283313223545074,0.971608580947339,0.9,"median","qi"
"911","Hest","E3",2015,"F","F",1,11,1,3,2954.50858000641,1124.93613611422,3914.74291004874,0.9,"median","qi"
"912","HS","E3",2015,"F","F",1,11,1,3,0.918438279145455,0.841742738566561,0.963939457656994,0.9,"median","qi"
"913","N","E3",2015,"F","F",1,11,1,3,29849.9302402852,22115.8048434654,41263.9792260934,0.9,"median","qi"
"914","NS","E3",2015,"F","F",1,11,1,3,0.628745122940887,0.443957965960206,0.861814583860939,0.9,"median","qi"
"915","Report","E3",2015,"F","F",1,11,1,3,0.325249615531924,0.222990891844385,0.953612854174971,0.9,"median","qi"
"916","Hest","M1",2015,"F","F",1,11,1,4,3423.90324793377,2870.2013821983,4348.11904463083,0.9,"median","qi"
"917","HS","M1",2015,"F","F",1,11,1,4,0.950285870293004,0.831466761801809,0.967001892053524,0.9,"median","qi"
"918","N","M1",2015,"F","F",1,11,1,4,75666.9163463036,21431.1279614877,90519.0673947265,0.9,"median","qi"
"919","NS","M1",2015,"F","F",1,11,1,4,0.421328481042742,0.216131453154427,0.765789749536741,0.9,"median","qi"
"920","Report","M1",2015,"F","F",1,11,1,4,0.848589646647341,0.686287174243516,0.942153554675343,0.9,"median","qi"
"921","Hest","M2",2015,"F","F",1,11,1,5,2650.66611157901,1445.17558731697,3380.37652719031,0.9,"median","qi"
"922","HS","M2",2015,"F","F",1,11,1,5,0.966892964224856,0.886694833868815,0.97728450690927,0.9,"median","qi"
"923","N","M2",2015,"F","F",1,11,1,5,60405.6406454748,25711.2456777579,94767.0448759386,0.9,"median","qi"
"924","NS","M2",2015,"F","F",1,11,1,5,0.598499735018588,0.264139516744311,0.701494876034614,0.9,"median","qi"
"925","Report","M2",2015,"F","F",1,11,1,5,0.645485875629842,0.473746182454526,0.974876139528174,0.9,"median","qi"
"926","Hest","M3",2015,"F","F",1,11,1,6,2589.04648715918,2023.7023110545,4785.92251505896,0.9,"median","qi"
"927","HS","M3",2015,"F","F",1,11,1,6,0.889766251545502,0.783988030069808,0.965519895673211,0.9,"median","qi"
"928","N","M3",2015,"F","F",1,11,1,6,23498.9634485394,19296.0314814624,64932.5026170754,0.9,"median","qi"
"929","NS","M3",2015,"F","F",1,11,1,6,0.745511617464233,0.467052180246781,0.969096704786202,0.9,"median","qi"
"930","Report","M3",2015,"F","F",1,11,1,6,0.748472828752104,0.528790067245517,0.888060970467998,0.9,"median","qi"
"931","Hest","M4",2015,"F","F",1,11,1,7,2711.2062299162,1554.65058351502,3486.79768448323,0.9,"median","qi"
"932","HS","M4",2015,"F","F",1,11,1,7,0.94857862357746,0.862881306626693,0.966738805060566,0.9,"median","qi"
"933","N","M4",2015,"F","F",1,11,1,7,46307.4135694655,21365.9992530528,63759.260604566,0.9,"median","qi"
"934","NS","M4",2015,"F","F",1,11,1,7,0.637280755085646,0.296493271256457,0.952688275940889,0.9,"median","qi"
"935","Report","M4",2015,"F","F",1,11,1,7,0.711302083847822,0.425031483709052,0.939042998113592,0.9,"median","qi"
"936","Hest","W1",2015,"F","F",1,11,1,8,3889.10073730235,1169.43619224914,6923.8973868259,0.9,"median","qi"
"937","HS","W1",2015,"F","F",1,11,1,8,0.898092441087839,0.757806331603457,0.955989926938559,0.9,"median","qi"
"938","N","W1",2015,"F","F",1,11,1,8,24692.8888404153,16979.3820356553,62065.5522299084,0.9,"median","qi"
"939","NS","W1",2015,"F","F",1,11,1,8,0.765284950024839,0.289000198850775,0.954821451923922,0.9,"median","qi"
"940","Report","W1",2015,"F","F",1,11,1,8,0.358493292344463,0.197338999968046,0.995137672611296,0.9,"median","qi"
"941","Hest","W2",2015,"F","F",1,11,1,9,1979.37390814555,947.36123117238,3500.85448878523,0.9,"median","qi"
"942","HS","W2",2015,"F","F",1,11,1,9,0.947941455979324,0.89669506008512,0.968890217494899,0.9,"median","qi"
"943","N","W2",2015,"F","F",1,11,1,9,22536.8418850015,17808.8583867605,91423.7715710579,0.9,"median","qi"
"944","NS","W2",2015,"F","F",1,11,1,9,0.879058924887416,0.397060682616446,0.946819891138588,0.9,"median","qi"
"945","Report","W2",2015,"F","F",1,11,1,9,0.778625671732554,0.325397940838696,0.974758117760477,0.9,"median","qi"
"946","Hest","E1",2015,"F","M",1,11,2,1,1259.50665452488,1051.05676706703,1598.08809371709,0.9,"median","qi"
"947","HS","E1",2015,"F","M",1,11,2,1,0.955514956155947,0.922813258058197,0.969883093309805,0.9,"median","qi"
"948","N","E1",2015,"F","M",1,11,2,1,26195.6528602497,17748.262136515,43012.6349563697,0.9,"median","qi"
"949","NS","E1",2015,"F","M",1,11,2,1,0.5024795583153,0.411350253780006,0.974396625138631,0.9,"median","qi"
"950","Report","E1",2015,"F","M",1,11,2,1,0.711094918262705,0.573262368588642,0.861077881639468,0.9,"median","qi"
"951","Hest","E2",2015,"F","M",1,11,2,2,935.632140110274,402.785187674694,1619.61706772138,0.9,"median","qi"
"952","HS","E2",2015,"F","M",1,11,2,2,0.972845936322187,0.931531668512504,0.979477556289473,0.9,"median","qi"
"953","N","E2",2015,"F","M",1,11,2,2,23513.9906563347,17707.8821943199,38003.4239126175,0.9,"median","qi"
"954","NS","E2",2015,"F","M",1,11,2,2,0.629517941903051,0.363647899731133,0.855775000307855,0.9,"median","qi"
"955","Report","E2",2015,"F","M",1,11,2,2,0.399096367216563,0.213021292539072,0.884066630198096,0.9,"median","qi"
"956","Hest","E3",2015,"F","M",1,11,2,3,2283.50000792777,807.256212422729,3187.48647130417,0.9,"median","qi"
"957","HS","E3",2015,"F","M",1,11,2,3,0.938914036986217,0.866687663624759,0.974419864589926,0.9,"median","qi"
"958","N","E3",2015,"F","M",1,11,2,3,29906.0160394653,22193.5745714429,41236.2546865076,0.9,"median","qi"
"959","NS","E3",2015,"F","M",1,11,2,3,0.342007515977554,0.266777774265326,0.903425497805454,0.9,"median","qi"
"960","Report","E3",2015,"F","M",1,11,2,3,0.415197514013337,0.259912596331085,0.96429746869142,0.9,"median","qi"
"961","Hest","M1",2015,"F","M",1,11,2,4,2637.11870023416,1984.88136143738,3547.90853009246,0.9,"median","qi"
"962","HS","M1",2015,"F","M",1,11,2,4,0.96305048232595,0.855510592275941,0.977029690273676,0.9,"median","qi"
"963","N","M1",2015,"F","M",1,11,2,4,75724.1792706968,21466.7709934774,90545.6745294745,0.9,"median","qi"
"964","NS","M1",2015,"F","M",1,11,2,4,0.168163404082721,0.120956106298346,0.83781796189901,0.9,"median","qi"
"965","Report","M1",2015,"F","M",1,11,2,4,0.335540831002338,0.219615406713645,0.490035042927305,0.9,"median","qi"
"966","Hest","M2",2015,"F","M",1,11,2,5,2040.34950402136,1003.52256783662,2698.79586192077,0.9,"median","qi"
"967","HS","M2",2015,"F","M",1,11,2,5,0.975702620538629,0.904188407838185,0.984254443859426,0.9,"median","qi"
"968","N","M2",2015,"F","M",1,11,2,5,60401.1797042077,25645.804340047,94829.6281589211,0.9,"median","qi"
"969","NS","M2",2015,"F","M",1,11,2,5,0.327963489391697,0.152925288031334,0.766923267021587,0.9,"median","qi"
"970","Report","M2",2015,"F","M",1,11,2,5,0.454355015627749,0.317829385805588,0.904456328011349,0.9,"median","qi"
"971","Hest","M3",2015,"F","M",1,11,2,6,2070.96570926163,1504.79662267116,3542.8244850034,0.9,"median","qi"
"972","HS","M3",2015,"F","M",1,11,2,6,0.909112180959874,0.837816673974866,0.974962265763709,0.9,"median","qi"
"973","N","M3",2015,"F","M",1,11,2,6,23507.9102334911,19300.2509735566,64890.1768860741,0.9,"median","qi"
"974","NS","M3",2015,"F","M",1,11,2,6,0.447361657084126,0.298094048868284,0.979859249944432,0.9,"median","qi"
"975","Report","M3",2015,"F","M",1,11,2,6,0.311313364417506,0.17423675311224,0.521526796957992,0.9,"median","qi"
"976","Hest","M4",2015,"F","M",1,11,2,7,2104.68986797051,1088.40430693072,2791.26957335147,0.9,"median","qi"
"977","HS","M4",2015,"F","M",1,11,2,7,0.961926334088036,0.882305185166338,0.976743409068974,0.9,"median","qi"
"978","N","M4",2015,"F","M",1,11,2,7,46204.6042708371,21314.4457902926,63811.1867774567,0.9,"median","qi"
"979","NS","M4",2015,"F","M",1,11,2,7,0.323729829698341,0.168299643958564,0.968678863131158,0.9,"median","qi"
"980","Report","M4",2015,"F","M",1,11,2,7,0.534152323271132,0.35395826081249,0.832914796537511,0.9,"median","qi"
"981","Hest","W1",2015,"F","M",1,11,2,8,3273.07616615469,809.538271895093,5274.69832984861,0.9,"median","qi"
"982","HS","W1",2015,"F","M",1,11,2,8,0.923504879366114,0.790728042982119,0.969524770942734,0.9,"median","qi"
"983","N","W1",2015,"F","M",1,11,2,8,24761.9118789607,16975.6889444684,62085.586196803,0.9,"median","qi"
"984","NS","W1",2015,"F","M",1,11,2,8,0.45260355796847,0.167383419658636,0.9711910057628,0.9,"median","qi"
"985","Report","W1",2015,"F","M",1,11,2,8,0.0906624475537916,0.0503476517591202,0.494453162021385,0.9,"median","qi"
"986","Hest","W2",2015,"F","M",1,11,2,9,1628.02067818609,653.953273975112,2621.51960600738,0.9,"median","qi"
"987","HS","W2",2015,"F","M",1,11,2,9,0.962807643744352,0.912549490233697,0.977270803387603,0.9,"median","qi"
"988","N","W2",2015,"F","M",1,11,2,9,22567.0472009587,17839.3044685825,91367.8251977488,0.9,"median","qi"
"989","NS","W2",2015,"F","M",1,11,2,9,0.685973410659234,0.244768851953045,0.958976920192352,0.9,"median","qi"
"990","Report","W2",2015,"F","M",1,11,2,9,0.232043742751289,0.0987706373553853,0.640653438438575,0.9,"median","qi"
"991","Hest","E1",2016,"F","F",1,12,1,1,972.746278453584,822.918579783526,1145.41467201549,0.9,"median","qi"
"992","HS","E1",2016,"F","F",1,12,1,1,0.956428905929255,0.939625545738091,0.964419412017053,0.9,"median","qi"
"993","N","E1",2016,"F","F",1,12,1,1,23244.5488731091,16341.5423265759,26464.7233558528,0.9,"median","qi"
"994","NS","E1",2016,"F","F",1,12,1,1,0.959603839250482,0.802655176613378,0.990812321495939,0.9,"median","qi"
"995","Report","E1",2016,"F","F",1,12,1,1,0.904578313428548,0.799683615532695,0.971901416345876,0.9,"median","qi"
"996","Hest","E2",2016,"F","F",1,12,1,2,679.550050432128,438.105785995315,1047.92167334656,0.9,"median","qi"
"997","HS","E2",2016,"F","F",1,12,1,2,0.966683216037608,0.95202839754124,0.980150156066095,0.9,"median","qi"
"998","N","E2",2016,"F","F",1,12,1,2,21796.8651372986,15685.06594236,28133.3509941537,0.9,"median","qi"
"999","NS","E2",2016,"F","F",1,12,1,2,0.922798265198805,0.880029422469845,0.965283977934983,0.9,"median","qi"
"1000","Report","E2",2016,"F","F",1,12,1,2,0.722104343889459,0.512864615059848,0.965470990508282,0.9,"median","qi"
"1001","Hest","E3",2016,"F","F",1,12,1,3,1479.2130970403,858.833985103924,2145.83196272972,0.9,"median","qi"
"1002","HS","E3",2016,"F","F",1,12,1,3,0.930534554464258,0.891958455520839,0.975284556378217,0.9,"median","qi"
"1003","N","E3",2016,"F","F",1,12,1,3,26389.2103033249,14391.4277091479,36573.6460772592,0.9,"median","qi"
"1004","NS","E3",2016,"F","F",1,12,1,3,0.916781685061764,0.682615847638586,0.965459738051087,0.9,"median","qi"
"1005","Report","E3",2016,"F","F",1,12,1,3,0.595980996479332,0.427894527137111,0.943310424912512,0.9,"median","qi"
"1006","Hest","M1",2016,"F","F",1,12,1,4,1867.115982973,1505.21702111919,2452.60277976522,0.9,"median","qi"
"1007","HS","M1",2016,"F","F",1,12,1,4,0.944579753725162,0.91473586763653,0.977676227309463,0.9,"median","qi"
"1008","N","M1",2016,"F","F",1,12,1,4,30246.094169213,22390.9657133074,97416.9931192222,0.9,"median","qi"
"1009","NS","M1",2016,"F","F",1,12,1,4,0.797281947589014,0.513755926258604,0.932095593905182,0.9,"median","qi"
"1010","Report","M1",2016,"F","F",1,12,1,4,0.914202053769409,0.830975046694435,0.967075611461793,0.9,"median","qi"
"1011","Hest","M2",2016,"F","F",1,12,1,5,1334.62604360614,1025.04992436541,1792.04806052596,0.9,"median","qi"
"1012","HS","M2",2016,"F","F",1,12,1,5,0.961666960994644,0.944936240307783,0.98463550720753,0.9,"median","qi"
"1013","N","M2",2016,"F","F",1,12,1,5,42023.8341424521,26077.5022532272,70325.1188323031,0.9,"median","qi"
"1014","NS","M2",2016,"F","F",1,12,1,5,0.818258486378788,0.70414141540367,0.909089041720882,0.9,"median","qi"
"1015","Report","M2",2016,"F","F",1,12,1,5,0.853519049084582,0.684446616363705,0.972342216610021,0.9,"median","qi"
"1016","Hest","M3",2016,"F","F",1,12,1,6,1204.66041873596,946.280226267177,3850.10425554366,0.9,"median","qi"
"1017","HS","M3",2016,"F","F",1,12,1,6,0.944026145730986,0.850782156943307,0.961087672687838,0.9,"median","qi"
"1018","N","M3",2016,"F","F",1,12,1,6,23248.687561022,19781.1320333396,29217.8202251973,0.9,"median","qi"
"1019","NS","M3",2016,"F","F",1,12,1,6,0.92710069986551,0.763888756281919,0.991546783400634,0.9,"median","qi"
"1020","Report","M3",2016,"F","F",1,12,1,6,0.888769851064701,0.484652321046598,0.958888725971503,0.9,"median","qi"
"1021","Hest","M4",2016,"F","F",1,12,1,7,1352.43799671948,1126.76340923213,1799.60476334578,0.9,"median","qi"
"1022","HS","M4",2016,"F","F",1,12,1,7,0.94531380246215,0.92601247282128,0.978082538082566,0.9,"median","qi"
"1023","N","M4",2016,"F","F",1,12,1,7,27850.7551920332,20423.2114785564,54234.168997163,0.9,"median","qi"
"1024","NS","M4",2016,"F","F",1,12,1,7,0.862614208189168,0.6955257261998,0.986846405514652,0.9,"median","qi"
"1025","Report","M4",2016,"F","F",1,12,1,7,0.857280470897876,0.635307487239101,0.942540473201433,0.9,"median","qi"
"1026","Hest","W1",2016,"F","F",1,12,1,8,1901.30822366498,899.067496066783,2960.25226500964,0.9,"median","qi"
"1027","HS","W1",2016,"F","F",1,12,1,8,0.897544240187417,0.857636559554454,0.969701660494221,0.9,"median","qi"
"1028","N","W1",2016,"F","F",1,12,1,8,22254.2924170667,16426.3405506648,31945.4778374198,0.9,"median","qi"
"1029","NS","W1",2016,"F","F",1,12,1,8,0.882031480217823,0.771794997371727,0.988900810966372,0.9,"median","qi"
"1030","Report","W1",2016,"F","F",1,12,1,8,0.632455898743522,0.376655493597803,0.994460978873537,0.9,"median","qi"
"1031","Hest","W2",2016,"F","F",1,12,1,9,913.23409480411,700.937417388104,1871.22059327382,0.9,"median","qi"
"1032","HS","W2",2016,"F","F",1,12,1,9,0.959588945101096,0.947733640645213,0.969947161186634,0.9,"median","qi"
"1033","N","W2",2016,"F","F",1,12,1,9,22640.1902599241,18735.2481858144,41653.5452734869,0.9,"median","qi"
"1034","NS","W2",2016,"F","F",1,12,1,9,0.943604405624091,0.870028840871138,0.985137608588517,0.9,"median","qi"
"1035","Report","W2",2016,"F","F",1,12,1,9,0.905208681935972,0.53827339288291,0.973873557219783,0.9,"median","qi"
"1036","Hest","E1",2016,"F","M",1,12,2,1,732.303275542342,607.62531148202,873.435930816085,0.9,"median","qi"
"1037","HS","E1",2016,"F","M",1,12,2,1,0.96677544199172,0.954923414596336,0.973661287773432,0.9,"median","qi"
"1038","N","E1",2016,"F","M",1,12,2,1,23175.9999411318,16275.8733437326,26476.092318115,0.9,"median","qi"
"1039","NS","E1",2016,"F","M",1,12,2,1,0.922727759841315,0.533881829565763,0.993810587027091,0.9,"median","qi"
"1040","Report","E1",2016,"F","M",1,12,2,1,0.673033245671816,0.450244459651655,0.854815270150468,0.9,"median","qi"
"1041","Hest","E2",2016,"F","M",1,12,2,2,507.55749013589,304.251827794746,865.432514470912,0.9,"median","qi"
"1042","HS","E2",2016,"F","M",1,12,2,2,0.973745506336255,0.96345382436534,0.986222370915493,0.9,"median","qi"
"1043","N","E2",2016,"F","M",1,12,2,2,21819.0123103216,15836.7672195347,28182.4038555771,0.9,"median","qi"
"1044","NS","E2",2016,"F","M",1,12,2,2,0.898948781056205,0.696872280914381,0.960957266859657,0.9,"median","qi"
"1045","Report","E2",2016,"F","M",1,12,2,2,0.408672898933546,0.213414261023495,0.777170367639179,0.9,"median","qi"
"1046","Hest","E3",2016,"F","M",1,12,2,3,1119.93791466419,606.999269189213,1756.25367444665,0.9,"median","qi"
"1047","HS","E3",2016,"F","M",1,12,2,3,0.943576626783174,0.919167145564574,0.982604028526953,0.9,"median","qi"
"1048","N","E3",2016,"F","M",1,12,2,3,26423.2014855801,14408.4228372125,36567.9347783541,0.9,"median","qi"
"1049","NS","E3",2016,"F","M",1,12,2,3,0.855555813456372,0.379909355799985,0.975575640473898,0.9,"median","qi"
"1050","Report","E3",2016,"F","M",1,12,2,3,0.426209516244046,0.260029585281973,0.925857498019184,0.9,"median","qi"
"1051","Hest","M1",2016,"F","M",1,12,2,4,1450.90386997024,1089.49607381908,1834.21649325505,0.9,"median","qi"
"1052","HS","M1",2016,"F","M",1,12,2,4,0.958520060314682,0.928468126491684,0.984561018734586,0.9,"median","qi"
"1053","N","M1",2016,"F","M",1,12,2,4,30230.9941157573,22406.5267155404,97388.6750583989,0.9,"median","qi"
"1054","NS","M1",2016,"F","M",1,12,2,4,0.653065720120338,0.228496135755481,0.956298321362915,0.9,"median","qi"
"1055","Report","M1",2016,"F","M",1,12,2,4,0.28176800241935,0.202484341445966,0.422448463370552,0.9,"median","qi"
"1056","Hest","M2",2016,"F","M",1,12,2,5,1047.01049222767,709.095760451038,1364.37852337198,0.9,"median","qi"
"1057","HS","M2",2016,"F","M",1,12,2,5,0.971908819660671,0.954141778754527,0.989421876044143,0.9,"median","qi"
"1058","N","M2",2016,"F","M",1,12,2,5,42122.2351035307,26106.9125111482,70388.0909501163,0.9,"median","qi"
"1059","NS","M2",2016,"F","M",1,12,2,5,0.721282658210749,0.402744840553622,0.93255562212716,0.9,"median","qi"
"1060","Report","M2",2016,"F","M",1,12,2,5,0.462875618542299,0.321072369851341,0.813665081752389,0.9,"median","qi"
"1061","Hest","M3",2016,"F","M",1,12,2,6,960.811470915525,698.244436866876,2800.50975522406,0.9,"median","qi"
"1062","HS","M3",2016,"F","M",1,12,2,6,0.954782755556218,0.889733213497002,0.971617789447634,0.9,"median","qi"
"1063","N","M3",2016,"F","M",1,12,2,6,23234.511981475,19781.7723323757,29191.4610286351,0.9,"median","qi"
"1064","NS","M3",2016,"F","M",1,12,2,6,0.860854930525014,0.476540917657521,0.994611433700367,0.9,"median","qi"
"1065","Report","M3",2016,"F","M",1,12,2,6,0.313711914286448,0.0904035164105391,0.526872942014427,0.9,"median","qi"
"1066","Hest","M4",2016,"F","M",1,12,2,7,1044.09121691688,795.854929701781,1370.15703581749,0.9,"median","qi"
"1067","HS","M4",2016,"F","M",1,12,2,7,0.958601374760095,0.939772558907872,0.984768704254145,0.9,"median","qi"
"1068","N","M4",2016,"F","M",1,12,2,7,27773.0492509832,20463.2174506999,54338.3519699335,0.9,"median","qi"
"1069","NS","M4",2016,"F","M",1,12,2,7,0.757075391017295,0.398687357165858,0.991419217672592,0.9,"median","qi"
"1070","Report","M4",2016,"F","M",1,12,2,7,0.523686414581956,0.358378028826978,0.710738197039455,0.9,"median","qi"
"1071","Hest","W1",2016,"F","M",1,12,2,8,1536.98392002532,610.822987856113,2264.84852956254,0.9,"median","qi"
