"",".variable","DMU","Year","Age","Sex","a","k","s","i",".value",".lower",".upper",".width",".point",".interval"
"49","NS","E1",2005,"F","M",1,1,2,1,0.802479615200107,0.651669378205551,0.971849009592005,0.9,"median","qi"
"50","Report","E1",2005,"F","M",1,1,2,1,0.878707726021084,0.591604644074733,0.954963798433792,0.9,"median","qi"
"51","Hest","E2",2005,"F","M",1,1,2,2,672.294958870471,519.313324393491,961.190244755143,0.9,"median","qi"
"52","HS","E2",2005,"F","M",1,1,2,2,0.971950278203672,0.962067558279882,0.981073741651438,0.9,"median","qi"
"53","N","E2",2005,"F","M",1,1,2,2,21991,18010,41850,0.9,"median","qi"
"54","NS","E2",2005,"F","M",1,1,2,2,0.789559928100778,0.686003628604989,0.878823084962857,0.9,"median","qi"
"55","Report","E2",2005,"F","M",1,1,2,2,0.689520685821995,0.513630098719586,0.861559305149666,0.9,"median","qi"
"56","Hest","E3",2005,"F","M",1,1,2,3,1309.12144148837,801.86672600476,1700.31638543287,0.9,"median","qi"
"57","HS","E3",2005,"F","M",1,1,2,3,0.952835665169103,0.914970119426344,0.969191411558296,0.9,"median","qi"
"58","N","E3",2005,"F","M",1,1,2,3,25394,16399,35066,0.9,"median","qi"
"59","NS","E3",2005,"F","M",1,1,2,3,0.668412755297974,0.504082766524308,0.896146320063365,0.9,"median","qi"
"60","Report","E3",2005,"F","M",1,1,2,3,0.716002112640989,0.567972473319747,0.959064779640381,0.9,"median","qi"
"61","Hest","M1",2005,"F","M",1,1,2,4,2528.30506609392,1919.71679008516,3590.54709562787,0.9,"median","qi"
"62","HS","M1",2005,"F","M",1,1,2,4,0.955675567398239,0.939051891774636,0.972671710878055,0.9,"median","qi"
"63","N","M1",2005,"F","M",1,1,2,4,53270,38410.95,116124.15,0.9,"median","qi"
"64","NS","M1",2005,"F","M",1,1,2,4,0.413699058001532,0.323096865172797,0.818565213682639,0.9,"median","qi"
"65","Report","M1",2005,"F","M",1,1,2,4,0.546526352249161,0.332472435379253,0.730430957961634,0.9,"median","qi"
"66","Hest","M2",2005,"F","M",1,1,2,5,1696.91030824859,1385.03010569456,2257.93276433865,0.9,"median","qi"
"67","HS","M2",2005,"F","M",1,1,2,5,0.971285232587362,0.961975138964183,0.980941691483108,0.9,"median","qi"
"68","N","M2",2005,"F","M",1,1,2,5,62180,45365.95,83810.1,0.9,"median","qi"
"69","NS","M2",2005,"F","M",1,1,2,5,0.577574236005246,0.413284357195868,0.736216086319409,0.9,"median","qi"
"70","Report","M2",2005,"F","M",1,1,2,5,0.752486668436895,0.584995808019582,0.891552874846868,0.9,"median","qi"
"71","Hest","M3",2005,"F","M",1,1,2,6,1493.15194175798,1113.77928887769,6950.73609871501,0.9,"median","qi"
"72","HS","M3",2005,"F","M",1,1,2,6,0.960031375616034,0.811841153013981,0.970505576295995,0.9,"median","qi"
"73","N","M3",2005,"F","M",1,1,2,6,37038,28664,46960,0.9,"median","qi"
"74","NS","M3",2005,"F","M",1,1,2,6,0.729392932389111,0.60254330353198,0.978080991464409,0.9,"median","qi"
"75","Report","M3",2005,"F","M",1,1,2,6,0.626042391138441,0.153910122978798,0.791495297133182,0.9,"median","qi"
"76","Hest","M4",2005,"F","M",1,1,2,7,1591.61085833882,1286.80803682946,2008.41490516898,0.9,"median","qi"
"77","HS","M4",2005,"F","M",1,1,2,7,0.960417768773896,0.946007977107972,0.97239203449756,0.9,"median","qi"
"78","N","M4",2005,"F","M",1,1,2,7,38362,29909.95,62507,0.9,"median","qi"
"79","NS","M4",2005,"F","M",1,1,2,7,0.587429150412707,0.465339344136332,0.963008359491458,0.9,"median","qi"
"80","Report","M4",2005,"F","M",1,1,2,7,0.756144274522292,0.611724221656883,0.879158701220495,0.9,"median","qi"
"81","Hest","W1",2005,"F","M",1,1,2,8,2479.02889092015,1505.11903375052,4270.93711838601,0.9,"median","qi"
"82","HS","W1",2005,"F","M",1,1,2,8,0.925923707677936,0.891041692620962,0.96133232164959,0.9,"median","qi"
"83","N","W1",2005,"F","M",1,1,2,8,37048,27781,45194.1,0.9,"median","qi"
"84","NS","W1",2005,"F","M",1,1,2,8,0.711752114062434,0.455037230946192,0.966850859979175,0.9,"median","qi"
